"","genes","logFC","logCPM","F","PValue","FDR"
"ENSG00000160323.19","ENSG00000160323.19",-2.6278929367239,2.76703376603955,551.454273595176,8.42985591279884e-79,8.09266167628689e-75
"ENSG00000138315.13","ENSG00000138315.13",-3.12895048317051,4.76305238166831,512.904555951909,4.48183661388005e-75,2.15128157466242e-71
"ENSG00000130812.10","ENSG00000130812.10",-2.87496499581306,2.74844566494317,452.514980394781,6.43289126794056e-69,2.05852520574098e-65
"ENSG00000160339.16","ENSG00000160339.16",-4.78126030749705,4.73205424899685,447.051511457079,2.43366028708261e-68,5.84078468899827e-65
"ENSG00000019169.10","ENSG00000019169.10",-4.68913051273607,4.50314833034395,427.872224488446,2.77951320592978e-66,5.33666535538518e-63
"ENSG00000145708.11","ENSG00000145708.11",-4.344036443845,4.00329346834429,424.785417483654,6.01841116335974e-66,9.62945786137558e-63
"ENSG00000263761.3","ENSG00000263761.3",-4.47396593528094,2.61783596158861,421.920807813996,1.23577827811167e-65,1.69478163855314e-62
"ENSG00000184374.3","ENSG00000184374.3",-3.83572414624818,3.08399746878673,405.181548988031,8.69522543615659e-64,1.04342705233879e-60
"ENSG00000143369.15","ENSG00000143369.15",-2.8477968821271,3.7841823787967,356.798798822567,3.14094440507949e-58,3.35034069875145e-55
"ENSG00000160801.14","ENSG00000160801.14",-3.04018554445531,2.90820207917547,347.38696467982,4.15246595829398e-57,3.98636731996222e-54
"ENSG00000144655.15","ENSG00000144655.15",-2.11814896174365,5.16537615364857,335.687914409385,1.07485123145209e-55,9.38051983812734e-53
"ENSG00000126838.10","ENSG00000126838.10",-4.19167063493778,3.38185634549415,313.79761854487,5.43331073266322e-53,4.34664858613058e-50
"ENSG00000159200.18","ENSG00000159200.18",-2.2624473551331,4.87127417514668,297.693949922713,5.97129737094222e-51,4.40957344315734e-48
"ENSG00000142748.13","ENSG00000142748.13",-3.95832760698983,5.15043880917072,297.113056534955,7.08835576138602e-51,4.86058680780755e-48
"ENSG00000123454.12","ENSG00000123454.12",-2.94596930480575,3.29172102029943,294.647525379955,1.4700312572034e-50,9.40820004610178e-48
"ENSG00000113594.10","ENSG00000113594.10",-2.59442273655845,2.57728253264086,288.925112324082,8.0686307804402e-50,4.84117846826412e-47
"ENSG00000109576.14","ENSG00000109576.14",-2.67021198499538,3.70862433476332,277.299382985334,2.67733056620664e-48,1.51190431974022e-45
"ENSG00000115963.13","ENSG00000115963.13",-2.32214675198609,5.29541944533098,271.324074870647,1.65696001365965e-47,8.83712007285147e-45
"ENSG00000087237.12","ENSG00000087237.12",-2.67740625340255,3.25451681745512,262.819761360612,2.27962810553179e-46,1.15181209542659e-43
"ENSG00000107864.15","ENSG00000107864.15",-2.14926834185296,2.80705190558536,260.562690284124,4.59647833764046e-46,2.20630960206742e-43
"ENSG00000197580.13","ENSG00000197580.13",-2.88154940862769,2.51659485497258,245.504712536364,5.25505745612446e-44,2.40231197994261e-41
"ENSG00000120907.18","ENSG00000120907.18",-3.00296034249845,2.69418647646368,238.421113364471,5.06970154819772e-43,2.21223340284992e-40
"ENSG00000128016.7","ENSG00000128016.7",-2.01617634010553,7.79540527133664,236.305145037615,1.00253454817598e-42,4.18449202716932e-40
"ENSG00000173334.4","ENSG00000173334.4",-1.87013925150301,6.38060309643286,234.485406789829,1.80521081331374e-42,7.22084325325495e-40
"ENSG00000169032.10","ENSG00000169032.10",-1.0657074276392,5.01361190801399,227.438877465871,1.78808455670292e-41,6.8662446977392e-39
"ENSG00000106993.12","ENSG00000106993.12",-1.46632016330246,4.55493825745975,224.637761017594,4.48007756970352e-41,1.65418248727515e-38
"ENSG00000163687.14","ENSG00000163687.14",-2.79014003529618,4.77154781085946,224.151070449206,5.25739904339146e-41,1.8692974376503e-38
"ENSG00000184517.12","ENSG00000184517.12",-1.6172807526735,2.96506303073183,221.880050533335,1.11097912515011e-40,3.80907128622893e-38
"ENSG00000139289.13","ENSG00000139289.13",-2.29429546093029,4.76204814387451,216.131216576472,7.47193179174929e-40,2.47346707588942e-37
